Key,Value
GAITADA,Gargalhada. 
GAITAR,Gargalhar. 
GAITOSO,Aquele que faz os outros rirem. 
GALA,"Esperma, sêmen. "
GALALAU,Homem alto. 
GALEGO,Loiro. 
GALETO,Frango. 
GALINHA DE CAPOEIRA,Galinha caipira. Galinha cria da em casa. 
GALINHA MATRIZ,Galinha reprodutora. Só é abatida quando deixa 
GALINHOTA,Carrinho de mão. 
GALO,Indivíduo com orgasmo rápido. 
GASGUITA,2. Pessoa que fala muito alto ou grita. 2. Mulher muito 
GASTURA,"Sensação desagradável, aflição, desconfor to, "
GATO,Instalação clandestina de eletricidade. 
GATO DE HOTEL,Diz-se das pessoas que comem todo o  que 
GATO REI,Prostituta. 
GAZEAR,Faltar à aula ou a uma obrigação para pass ear ou divertir-
GELADINHO,Sorvete caseiro embalado em saco plásti co 
GEROZ,(ó) Algeroz. Junção entre o telhado e uma p arede mais 
GIGOLETE,"Passadeira, diadema, arco. "
GOELA,Garganta. 
GOELAR,Furtar. 
GOGA,Deboche. 
GOGAR,Debochar de alguém. 
GOGO,(Gôgo) Escarro. Gosma. 
GOGÓ,Engrossante. Mingau servido em mamadeira. 
GOGUENTO,"Goguento Que expele escarro, gosma. "
GOIA,"Fim do cigarro (o mesmo que Guimba, Piola, S egunda) "
GOMA,"Cola caseira feita com água, farinha de trig o ou amido de "
GORAR,Estragar a cerveja ou o ovo. 
GORÉ,Um tipo de caranguejo miúdo. 
GORGOMILO,"Garganta, goela, princípio do esôfago. "
GOSTOSÃO,Ônibus. (denominação antiga). 
GOTA,Coisa ruim. 
GRELADO,Concentrado. 
GRETEIRO,"Indivíduo que observa pelo buraco da bre cha, da greta "
GRIZMELA,Magra. 
GRUDE,Sujeira; porcaria 
GUAIAMUM,Espécie de caranguejo de cor azul. 
GUARIBADA,Dar uma caprichada. 
GUÊ,Letra G. 
GUERREIRO,Manifestação folclórica que conta uma h istória de 
HI-FI,"(rai-fai) Música mecânica, proveniente de d isco ou fita. "
INCOMODADA,Menstruada. 
INFELIZ DA COSTELA OCA,"Sujeito chato, enjoado. "
INGEMBRADO,Torto. 
INHACA,Mal cheiro do sovaco. 
 7 INTEIRAR,Completar. 
ISPILICUTE,"Do inglês ""She's pretty cute"". Engraça dinha. "
ISPRITADO,Enfurecido. 
ISTRIPULIA,Travessura 
ISTRUIR,Desperdiçar. 
JABÁ,"Charque. Carne-seca. Carne de vaca, sem osso s, salgada, "
JABIRACA,Lenço usado no pescoço. 
JACÓ,Pão francês 
JANTE,Roda metálica que fica no centro dos pneus dos veículos. 
JERERÉ,Puçá. Rede em forma de cone com círculo de  madeira ou 
JERIMUM,Abóbora 
JI,Letra J. 
JUNIR,"Arremessar, jogar com a mão. "
LACHAR,"Lascar, rachar. "
LAMBEDOR,Xarope caseiro feito com açúcar queimado  e seiva de 
LAMINHA,Parte interna do coco verde. Também é cha mada de 
LANÇAR,Vomitar. 
LÂNDRIA,Caroço no corpo. Íngua. 
LANGANHENTO,"1- Viscoso, visguento, mole, ensebent o, grudento. "
LANGANHO,"Viscoso, visguento, mole, ensebento, gru dento. "
LANHAR,Arranhar. Cortar superficialmente o corpo em acidente ou 
LANTERNAGEM,Funilaria. Conserto na carroceria do veículo. 
LAPA,Algo grande. Pedaço grande. 
LAPADA,"1. Bofetada, chicotada. 2. De uma vez. Ex.  Beber um copo "
LARGADO,"Abandonado, desquitado, divorciado, separ ado. "
LASCADO,"Cheio de problemas, em má situação. "
LASCAR,Danificar. Prejudicar. 
LATEJAR,"Palpitar, pulsar. "
LATOMIA,Barulho. 
LATRINA,"Privada, vaso sanitário. "
LAURÇA, Pessoa feia e vestida de forma enfeitada.  (Fulana parece 
LAVA-CU,Inseto de asas transparentes. Libélula. 
LAVANDEIRA,Um tipo de pomba que o povo diz que la va as roupas 
LAVANDERIA,Tanque. Pequeno reservatório de ciment o usado 
LÉGUA,Antiga medida de distância. Tem de 6.000 a 6.600 metros. 
LEITE DE GADO,Leite de vaca. Leite não industrial izado. 
LERDO,Lento. 
LERIADO,Conversa fiada. LESEIRA
LETRECA,Cafona. 
LEVAR UM CUSCUZ,"Levar um ""fora"". Ouvir um ""não"" c omo "
LEVAR UMA TABOCA,"Levar um ""fora"". Ouvir um ""não"" como "
LIGEIRINHO,"Microônibus um pouco mais confortável,  mais rápido e "
LIGEIRO,"Ágil, rápido, veloz. Às pressas. "
LIMALHA,Um tipo de busca-pé. Artefato pirotécnico  conhecido 
LISO,A pior ofensa para um cearense. E muito mais  que uma 
LONJURA,Grande distância. 
MACACÃO,"Macaco, amarelinha. Um tipo de brincadeir a infantil. "
MACAXEIRA,Mandioca. 
MACHO REI,"cara, amigo, o meu... "
MACHUCAR,"Amassar, esmagar ou triturar alimento co m a mão ou "
MAGOAR,"Machucar, ferir. Ex. Magoei o meu dedo!. "
MAGOTE,"Bando, grupo. "
MAINHA,Mãe. 
MAIS EU,Comigo. 
MALAMANHADO,"Mal vestido, desajeitado. "
MALCASADO,Um tipo de biju (beiju) mais consistent e. É vendido 
MALDAR,Interpretar no mau sentido. 
MALETROSO,"Maletroso Indivíduo que não se veste be m, usa "
MALINAR,"Fazer travessuras, traquinagens. "
MALINO,Travesso. 
MANDIBA,Caule da planta mandioca.  
MANE BOFÃO,"Conhecido ""restauranteur"" de Fortaleza , especialista "
MANGAR,"Caçoar, enganar, gozar, iludir, sacanear, zombar. "
MANGOTE,"(ó) Engate, mangueira curta. "
MANGUÁ,Mangual. Correia para açoitar animais. 
MANGUAÇA,Cachaça 
MANIÇOBA,Folha da planta mandioca. 
MANJA,Brincadeira também conhecida como esconde-e sconde ou 
MANJELÃO,"Jambolão, jamelão. Fruta comestível que expele um "
MANJUBA,Pênis grande. 
MANOBRAR,Influenciar ou mandar em alguém. 
MANUÊ,Manauê Bolo feito com milho verde e coco. 
MAREADO,Esquecido. 
MARINETE,Denominação antiga para ônibus. 
MARIOLA,Bananada industrializada vendida em embal agem 
MARISCOMBONA,"Cambalhota, imitação de salto de gin astica "
MARMOTA,"Coisa estranha; pessoa desajeitada, enfei tada "
MAROMBA,Conjunto de vagens de feijão amarradas so bre caibros. 
MARRAIA,Bola de marraio. Bola de gude. Bola de vi dro usada 
 8 MARRETEIRO,"Enganador, trapaceiro, vigarista. "
MARUEIRO," Pessoa esperta, cheio de enrolada; "
MARUIM,Mosquito-pólvora. 
MAS TÁ!,"Expressão usada para demonstrar dúvida, d esafio, "
MASSA (GÍRIA),"Agradável, bacana, bom, bonito. "
MASSADA,Espera 
MASTIGADINHO,Um forró mais acelerado. Pronto 
MATA-FOME,Árvore que produz um tipo de noz pequen a. 
MATRACA,"Cabra que fala sem parar, o tempo todo "
MATURI,"Castanha verde, grande e mole do caju em f ormação. "
MATUTAR,Pensar. Refletir 
MÊ,Letra M. 
MEDECÊ,Máximo Divisor Comum. 
MEIOTA,Meia garrafa de cachaça. 
MELADO,Bêbado. 
MELAR,"Pegar um pedaço, um pouco, uma parte. "
MELOTO,(melôto) Sujeira. 
MEMECÊ,Mínimo Múltiplo Comum. 
MENINA,Mulher cujo nome você não lembra ou não sa be. 
MENINICE,Infância 
MENINO,Homem cujo nome você não lembra ou não sab e. 
MERCADINHO,Supermercado. 
MEROL,Bebida. 
MEU REI,"Cara, Amigo,  "
MEUZOVO,"Expressão de discórdia, uma ova. ""Juca e um político "
MICARETA,Carnaval fora de época. 
MIJÃO,Artefato pirotécnico usado durante as festa s juninas. 
MILONGA,"Conversa inútil, fiada. "
MININO REI AMARELO,Criança chata. 
MIÔLO DE POTE,Coisa sem importância. 
MISSE,Grampo para prender o cabelo. 
MOÇA,Mulher virgem. 
MOCHILA,Saco plástico para embalar mercadorias em  
MOCOTÓ,Tornozelo. 
"MOD""EU",Por minha causa. 
MODE,Modo. Por causa. Ex. Eu fui mode você. 
MOI DE CHIFRE,Corno. 
MOLAMBO,"Desajeitado, desarrumado, mal vestido. "
MOLÉSTIA,Coisa ruim. 
MONDONGO,Tornozelo. 
MORAR DE RANCHO,Morar de favor. Morar na residênc ia de 
MORTA-FOME,"Avarento, guloso, esfomeado, morto de fome, pão-"
MOSQUITO,Um tipo de busca-pé (artefato pirotécnic o) que não 
MUCUNZÁ,Mungunzá. Canjica. Chá-de-burro. Mingau d e milho 
MUITCHO,Muito. 
MULHER-DAMA,Prostituta. 
MULHER-MACHO,Lésbica ou mulher que age com firmez a. 
MUNDICA,"Gente pobre, plebe rude. "
MUNGUNZÁ,Canjica. Mingau de milho branco cozido c om leite de 
MURIÇOCA,"Mosquito, pernilongo. MUTUCA – Mosquito grande "
NA LONA,Em situação difícil. Sem dinheiro. 
NA TORA,"À força, na valentia. "
NA VERA,"Prá valer (a aposta, o jogo, agora é na v era) "
NÃO DÁ UM PREGO NUMA BARRA DE SABÃO,"Não faz nada,  e "
NÃO SE MISTURE,Diz o baiano quando alguém pisa em  uma tulha 
NÃO SEI O QUE E O QUE MAIS!,E outras coisas mais.  
NÃO VALE O QUE O GATO ENTERRA,"Imprestável, (esse cara não "
NAS BIMBOCAS,Bem longe. 
NAS CARREIRAS,Às pressas. 
NEGOÇA,Palavra usada para referir-se a algo que v ocê não lembra 
NEM SANTO ANTONHO COM GUANCHO,A coisa está difíci l 
NEM XITE!,Nem te ligo! Nem te dou atenção! 
NERA?,Não era? Expressão utilizada no fim da fras e pedindo 
NESTANTE,Neste instante. Agora a pouco. Daqui a p ouco. 
NODA,Nódoa. Mancha. Substância que mancha ou suja . 
NUM FRESQUE NAO!,Pare com essa brincadeira! 
NUM SABE?,Não sabe? Expressão utilizada no fim da  frase 
Ô PÊGA,"Ô porra, expressão de espanto, admiração. "
O ROTO FALANDO DO ESFARRAPADO,Um indivíduo que fa la 
O SUJO FALANDO DO MAL LAVADO,Um indivíduo que fal a mal 
OBRAR,"Defecar, evacuar. "
OI (ÓI),Olhe 
OI DA GOIABA,Ânus. 
OI ELA!,"Oi ela! (ói) Saudação afetuosa, típica de  Sergipe. "
OI ELE !,"Saudação afetuosa, típica de Sergipe. "
OITÃO,"Parede lateral de uma casa, erguida sobre a  linha divisória "
OITCHO,Oito. 
OITEIRO,Quintal. 
OLHAR O CAROÇO DOS OLHOS,Olhar dentro dos olhos. 
OS ANOS,Aniversário. 
OVEIRO BAIXO,Pessoa que tem a bunda baixa (arriad a). 
OXE (Ô),Oxente. 
OXENTE,Expressão usada quando a pessoa sente espa nto ou 
ÔXENTE,"O mesmo que ""EPA! "", expressão de espanto "
PÁ,Osso Omoplata. 
PACAIO,1. Cigarro de palha. 2. Maconha. 
PAÇOCA,Farofa feita com carne do sol ou carne-sec a. 
PAGAR AOS PEDAÇOS,Pagar em parcelas. 
PAGAR NA VALSA,"Pagar aos poucos, em parcelas. "
PAI D'EGUA,"Porreta, legal, bacana. "
PAIA  Paia (pá),Ruim. 
PAINHO,Pai. 
PAJEAR,"Vigiar, tomar conta de alguém. "
PALMA,"1. Uma mão cheia de bananas, geralmente de 10 a 12 "
PANÇA,"Abdome, barriga. "
PANO BRANCO,Mancha branca na pele. 
PÃO CILINDRO,"Pão sovado (de massa fina, muito bat ida). "
 9 PÃO CUIUDO,(cuiúdo)
PÃO JACÓ,Pão francês. 
PÃO SOVADO,Pão de massa fina. 
PAPA,Mingau para criança. 
PAPANGÚ,Bicho parente do lobisomem que ninguém nu nca viu e 
PAPA-VENTO,Lagarto pequeno que vive na madeira. 
PAPEIRA,Caxumba. 
PAPEL DE ENROLAR PREGO,Pessoa grosseira. 
PARA O ANO,No próximo ano. 
PARA O MÊS,No próximo mês. 
PASSADO,"Estragado, fora da validade, vencido. "
PASSAR UMA SALIVA,Mentir. 
PASSA-RAIVA,Mamão. 
PASTINHA,Franja. 
PASTORAR,"Vigiar, tomar conta. "
PATETÊ,"Melação ocorrida depois de uma festa, enxu rrada "
PÉ DE PAU,Árvore. 
PÉ DE PLANTA,Arbusto. 
PEBA (É),"De baixa qualidade, mal feito. "
PECA (Ê),1. Mulher estéril. 2. Fruta que nasce co m defeito. 
PÉ-DE-MOLEQUE,Guloseima feita com massa de puba ( mandioca) 
PÉ-DE-SERRA,Forró autêntico. 
PEDIR PENICO,Desistir. 
PÉ-DURO,1. Pessoa sem habilidade para dançar. 2. Cão sem raça 
PÊGA (ê),"Palavra usada quando a pessoa se espanta , tem uma "
PEGADO,"Colado, junto, preso, próximo, vizinho, un ido. "
PEGAR NO TOMBO,Empurrar o carro para ele funciona r. 
PEGAR O BECO,Ir embora. 
PEGAR O CAMINHO DA ROÇA,Ir embora. 
PEGAR UM VENTO,Sofrer uma hemorragia cerebral. De rrame. 
PEGAR UMA APOSTA,Fazer uma aposta. 
PEGAR UMAS CARNES,Engordar. 
PEIA,"Algo árduo, complexo, difícil. "
PEIDO-DE-VELHA,Um tipo de artefato pirotécnico us ado nas festas 
PEITAR,"Desafiar, enfrentar. "
PEITICA,Amolação 
PELAR,"Descascar, tirar a pele ou a casca. "
PELEJAR,Tentar exaustivamente. 
PENCA,"Conjunto de coisas, punhado. "
PENSO,Inclinado. Torto. 
PERE,"Espere, pare. "
PEREBA,Ferida 
PESTE,Coisa ruim. 
PETROLHEIRO,Petroleiro 
PICADO,"Sarapatel, comida feita com miúdos de boi ou carneiro "
PIÇARRA,Cascalho. Terra misturada com areia e ped ras. 
PIEGUENTO,"Pessoa ou criança que aborrece, de tant o pedir ou "
PILOMBETA,Palombeta. Manjuba. Um tipo de peixe pe queno. PIMBADA
PINAR,"Rotar, tirar sarro. "
PINCENÊ,Óculos. 
PINGONGO,"Beirada, final. "
PINGUELA,Ponte pequena ou improvisada. 
PINICAR,"Causar coceira, espetar. "
PINTA,"Pinto, pênis. "
PINTA-BRAVA,Pessoa de conduta reprovável. 
PIOLA,"Ponta de cigarro, guimba, goia, segunda "
PIROBO,"Viado, fresco, gay "
PISA,MANSO
PISTOLÃO,Um tipo de artefato pirotécnico. 
PITEU,Mulher jovem e bonita. 
PITOCA,"Pênis, pau, rola, pomba. "
PITU,Um tipo de busca-pé (artefato pirotécnico). 
POCAR,"Estourar, pipocar. "
POMBA,"Pênis, rola, pau. "
POMBA LESA,Alguém desligado. 
POR HORA,Por enquanto. 
POR VIDA,"Constantemente, sempre. "
PRA DANAR,"Muito, grande quantidade. "
PRA PESTE,"Muito, grande quantidade. Ex.: Ele gost a de pinga pra "
PRAIO,Grifa. Ferramenta usada para manusear canos  com rosca. 
PRECISÃO,Necessidade. 
PRENHA,"Prenhe, grávida. "
PRESEPADA,Palhaçada. 
PRESEPEIRA,Pessoa saliente. 
PRESEPEIO,"Espalhafatoso, escandaloso. "
PRIMO CARNAL,Primo de primeiro grau. 
PRIQUITO,Vagina. 
PUBA,Massa de mandioca fermentada. Polvilho azedo . 
PUXAR DA PERNA,Mancar ou ter problema físico. 
QUARTOS,"Cadeiras, quadris. "
QUE SÓ A PESTE,"Demais, grande quantidade. Muito. Ex. : “Lá tem "
QUEBRA-QUEIXO,Puxa-puxa. Cocada que gruda nos den tes. 
QUEBRAR A TRIPA GAITEIRA,Gargalhar sem controle. 
QUEIJO COALHO,Queijo feito de forma artesanal. 
QUEIMA RAPARIGAL!,"Grito de guerra, incentivo p/ a s meninas "
QUEIRO,"Dente siso, dente do juízo. "
QUEM COM PORCOS SE MISTURA FARELO COME!,Expressão  
QUEM GABA O SAPO É A JIA!,Pessoa que se elogia ou  elogia a 
QUENGA,"Prostituta, rapariga. "
QUENTURA,Calor. 
RACHA,"pelada, jogo de futebol. "
RACHADA,"Forma com que os baitolas se referem as m ulheres, "
 10 RADIE,Baldrame. Viga de concreto que serve de bas e para 
RAJADA,Seqüência gases exalados pelo ânus. 
RAMPA,Meretrício. Zona. 
RAMPEAR,Freqüentar a zona de prostituição. 
RAMPEIRA,"Prostituta, vagabunda. "
RANGER,(rangêr) Produzir ruído por atrito entre p artes duras. Ex. A 
RAPAPÉ,Confusão 
RAPARIGA,"Amante, meretriz, prostituta. "
RAPAZ,Palavra utilizada para dirigir-se a um home m ou a uma 
RATA,Gafe. 
RATAR,"Errar, falhar. "
RÊ,Letra R. 
REBENQUE,Chicote pequeno. 
REBOLAR NO MATO,"Jogar fora, atirar. "
REBORREIA,"Resto, coisa que não presta. "
REGRA,Menstruação. 
REIMOSO,"Carregado. ""Priquito e bom, mas e reimoso "". "
REISADO,Dança típica do período natalino em homen agem ao 
RELAR,Ralar. Tocar de leve em algo ou alguém. 
RELAR A FIVELA,(é) Dançar forró agarrado. 
REMELA,Secreção ocular. 
REMELEIXO,Requebrado 
RENCA,Grupo de pessoas. 
RENTE,Junto. 
REPARE!,Olha só! Veja só! 
RESGUARDO,Período de repouso após o parto ou uma doença. 
RESPEITE!,Expressão usada quando uma coisa e muit o boa. 
RESSONAR,Roncar. 
RÉSTIA,Sombra. 
RIO CHEIO,Pessoa que ocupa muito espaço. 
RIRRI,"Mesmo que fechicler, ziper. "
RISCA-FACA,Bar ou baile onde sempre acontecem bri gas. 
ROÇAR,"Passar junto, tocar de leve; resvalar. "
ROJÃO,Peido barulhento. 
ROLA,"Pênis, pau, cacête "
ROLETE,Pedaço de cana descascada. 
ROTO,Esfarrapado. Maltrapilho. Rasgado. 
RUA DE,"É comum o uso da preposição ""de"" depois de  ""Rua"". Ex. "
RUMAR,"Arremessar, atirar, jogar. "
SABACU,Surra. 
SABUGO,Flor do sabugueiro usada para fazer remédi o caseiro 
SACOLEJAR,"Agitar, balançar, rebolar, sacudir. "
SACUDIR,"Descartar, jogar fora. "
SALITRE,Sal do mar. 
SALSEIRO,Confusão. 
SALVA,Bandeja pequena e redonda. SAMANGO
SANGRAR,Transbordar água do açude ou tanque. 
SAPECAR,"Chamuscar, queimar, tostar, torrar. "
SARAPATEL,"Comida preparada com muito molho e miúd os (bofe, "
SARRABULHO,Comida preparada com muito molho e miú dos 
SARUÊ,Gambá. 
SE ACABAR,"Morrer, perecer. Destruir-se, esgotar-s e, exaurir-se, "
SE AMARRAR,"Demorar, dificultar. "
SE AVIAR,Apressar-se. 
SE BATER,Ter dificuldade para fazer algo. 
SE FAZER,Fingir. 
SE LASCAR,"Arrebentar-se, dar-se mal, ferrar-se, m achucar-se, "
SE LENHAR,"Lanhar-se, machucar-se, dar-se mal. "
SE ORIENTE!,Corrija-se. Tome jeito. 
SE PERDER,Engravidar solteira. Tornar-se prostitu ta. 
SE RESPEITE!,Tome vergonha! 
SE SERVIR,Usar 
SEBITE,"Criança ativa, esperta, inquieta. "
SEBOSO,"Imundo, porco, sujo. "
SECURA,"Ansiedade, desejo intenso. "
SEM FUTURO,"Mau negócio, pessoa despreparada. "
SENTIDO,"Aborrecido, magoado, melindrado, ofendido , triste. "
SENTINELA,Velório. 
SEQUILHO,Bolacha de goma. Biscoito feito com polv ilho. 
SER SERVIR DE ALGUÉM,1. Explorar alguém. 2. Estup rar.  
SI,Letra S. 
SIBITE BALEADO,"Pessoa miúda (""sibite"" e um pequen o pássaro). "
SINAL VERMELHO,Menstruação. 
SÓ O BURACO E A CATINGA,"Pessoa dismilinguida. ""El e pegou "
SÓ O MI,Diz-se de alguma coisa muito boa. 
SOPA,Ônibus. 
SOSSEGAR O FACHO,Acalmar-se. Ficar quieto. 
SULISTA,Quem nasce ou habita o Sudeste ou o Sul d o Brasil. 
SUMIE,Sumilher (ê). Sofá. 
SUSTANÇA,"Energia dos alimentos. ""Rapadura tem sus tância"". "
TÁ COM A BEXIGA,Está agitado ou irritado. 
TÁ COM A GOTA-SERENA,Está agitado ou irritado. 
TÁ COM A MOLÉSTIA,Está agitado ou irritado. 
TÁ COM A PESTE,Está agitado ou irritado. 
TÁ DE ROSCA,"Coisa difícil, demorada "
TABACO,Genital feminino (buceta) 
TABARÉU,Homem tímido ou de hábitos rústicos. 
TABAROA,Mulher tímida ou de hábitos rústicos. 
TABOCA,"1.Bambu. 2. Decepção, negativa, recusa. "
TAIEIRA,Manifestação folclórica que mescla catoli cismo com 
 11 TALAGADA,Porção de bebida que se toma de uma vez.  
TAMBORETE,Banco de madeira bem pequeno e baixo. 
TAMBORETE-DE-CABARÉ,Pessoa de baixa estatura. 
TAMBORETE-DE-PUTA,Pessoa de baixa estatura. 
TAMPO,Pedaço de pele cortada ou quase solta do co rpo. 
TANGER,"(tanjêr) 1. Espantar, expulsar. 2. Dar imp ulso. "
TANQUE,Caixa d’água. Buraco cavado no chão para e stocar água.  
TAPEAR,Enganar. 
TARECO,Mentirinha. Biscoito redondo (3 cm) feito com farinha de 
TAREFA,Unidade de área. Em Sergipe equivale a 3.0 52 metros 
TARIMBA,"Cama desconfortável, rude, simples, feita  com varas. "
TEIÚ,"Pequeno lagarto verde, com manchas negras. "
TEM É ZÉ,"E muito difícil. ""Tu ganhar de mim na si nuca? Tem E ZE "
TERMO,"Área, cidade, distrito, região. "
TERREIRO,Quintal de fazenda ou sítio. 
TESAR,Teimar. 
TESTE,Exame ou prova escolar. 
TIRAR A HONRA,Deflorar. Desvirginar. 
TIRAR O COURO,Explorar ou maltratar ou alguém. 
TIRINÊTE,"Movimentação, ocupação, sobre carregado (Fulano está "
TITELA,Peito. 
TOBA,Ânus. 
TOCAR A BOMBA,Falar mal de alguém. 
TOCO DE AMARRAR JEGUE,Pessoa de baixa estatura. 
TOLETE,Cocô em forma cilíndrica. 
TOLOQUINHO,Cocô em forma cilíndrica. 
TOMAR PRUMO,"Se corrigir, se corrigir. "
TOMAR TENÊNCIA,Tomar jeito. 
TOPAR,Tropeçar. Tocar ou chocar-se com algo ou al guém. 
TORAR,"Arrebentar, despedaçar, estourar, explodir,  quebrar com "
TORRADO,"1. Rapé, tabaco em pó para cheirar. 2. Ch eiro das "
TOUREJAR,Tourear. Namorar. Paquerar. 
TRAMELA,Pedaço de madeira que gira ao redor de um  prego. É 
TRAQUE,Peido 
TRAQUE DE BEBÉ (BÉBÉ),Palito com um pouco de pólv ora na 
TRAQUE DE MASSA,Estalo. Papel enrolado com areia e pólvora 
TRECHO,Quarteirão. 
TRISCAR,Tocar. 
TRONCHO,"Desalinhado, torto. "
TROPA,Grande quantidade de filhos ou pessoas. 
TU LA CHUPA PICA!,Você não e de nada! 
TUIA,Tulha. Monte de fezes. 
ÚLTIMO TIRO NA MACACA,Diz-se de uma mulher que co mpletou 
URUPEMBA,Arupemba. Peneira. 
USURA,"Ambição, avareza "
VAI SAIR – Diz vou chegar VARÃO,"Estrado, lastro. Grade de madeira onde se a ssenta o "
VARAPAU,Homem alto. 
VARIANTE,"Estrada alternativa, secundária. "
VEIO,"Velho. Amigo, camarada, colega. "
VELATÓRIO,Velório. Sentinela 
VELHACO,"Caloteiro, devedor, malandro. "
VENTA,Nariz. 
VERDOSO,Fruto que não está bem maduro. 
VERMINOSO,Fominha (futebol). 
VEXADO,Apressado. 
VIÇAR,"Mulher  ou animal no cio, com tesão "
VIGIE,Procure. 
VIRCHE,"Vige. Virge. Virgem Maria. Expressão de es panto, "
VISAGE,"Fantasma, aparição. "
VISAGEM,"Assombração, fantasma. "
VIU,Entendi. Está certo. O.k. 2. Entendeu? Ouviu?  
VIXE!,Virgem Maria. 
VOINHA (VÓÍNHA),Avó. 
VOINHO (VÔÍNHO),Avô. 
VÔTE,"Mesmo que ""ARRE ÉGUA"",  "
VOTE! (Ô),"Interjeição usada expressar espanto, re pulsa, surpresa. "
XEPEIRO,1. Indivíduo que vive pedindo as coisas. 2. Que vive 
XERECA,"Genital feminino, (buceta)  "
XERÉM,"Resíduo do milho que, após pilado e peneira do, permanece "
XEXEIRO,(xêi) Caloteiro. Mal pagador. 
XEXO,(ê) Seixo. Calotear. Não pagar a prostituta.   
XIBIU,(bí) Vagina. 
XIBIU DE APITO,Objeto ou pessoa que faz muito bar ulho. 
XIMÃO,Indivíduo que olha demais para a comida de outra pessoa 
XIMAR,Olhar demais para a comida de outra pessoa ou para quem 
XIMONA,Mulher que olha demais para a comida de ou tra pessoa ou 
XOTAR,"enxotar, expulsar, mandar embora.  "
XÔXO,"Franzino, miúdo. "
XUMBREGAR,"Trocar carícias íntimas. ""Se amassar"". "
YPICILONE,(ô) Letra Y. 
ZABUMBA,Dança folclórica acompanhada por tocadore s de pífanos 
ZAMBETA,De pernas tortas. Com as coxas e joelhos juntos e os 
ZAROIO,"Zarolho. Estrábico, vesgo. "
ZOADA,"Barulho, confusão, gritaria, zumbido. "
ZUADENTO,Barulhento. 
ZURUÓ,Alguém desligado. 
